X,Y,FID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,RECORD_ID,FACILITY_N,CHAIN_NAME,CHAIN_ESTA,SITE_ADDRE,NEAR_FID,NEAR_DIST
-122.324690739380713,47.599019109355048,22,350395,0000000,350,Asia Bbq & Fast Food,Asia Bbq & Fast Food,655 S JACKSON ST,98104,Seattle,(206) 624-2275,Seating 0-12,III, , , , ," 
",176,2371.22599044
-122.331934840149273,47.600488819482955,23,350396,0000000,350,Asia Ginger,Asia Ginger,209 2ND AVE S,98104,Seattle,(206) 525-2984,Seating 13-50,III, , , , ," 
",223,3180.24447189
-122.314444170608482,47.583831459171407,24,350398,0000000,350,Asian Express,Asian Express,2122 14TH AVE S,98144,Seattle,(206) 328-3301,Grocery,I, , , , ," 
",-1,-1
-122.297459569519262,47.663556998910757,25,350631,0000000,350,Bartell Drugs #31,Bartell Drugs #31,2700 NE UNIVERSITY VILLAGE ST,98105,Seattle, ,Grocery,I, , , , ," 
",-1,-1
-122.301220419509804,47.581688229196018,26,350641,0000000,350,Bartell Drugs #63,Bartell Drugs #63,2345 RAINIER AVE S,98144,Seattle,(206) 763-2626,Grocery,I, , , , ," 
",-1,-1
-122.295726430538451,47.719423138799712,27,350642,0000000,350,Bartell Drugs #66,Bartell Drugs #66,3018 NE 125TH ST,98125,Seattle,(206) 767-1353,Grocery,I, , , , ," 
",-1,-1
-122.357344839949221,47.636783349176099,28,350643,0000000,350,Bartell Drugs #67,Bartell Drugs #67,1929 QUEEN ANNE AVE N,98109,Seattle,(206) 763-2626,Grocery,I, , , , ," 
",-1,-1
-122.35740164025492,47.691006219382942,29,350646,0000000,350,Bartell Drugs #9,Bartell Drugs #9,100 N 85TH ST,98103,Seattle,(206) 763-2626,Grocery,I, , , , ," 
",-1,-1
-122.320967000589775,47.61330499931335,30,350648,0000000,350,"Bartell Drugs; #23","Bartell Drugs; #23",1407 BROADWAY,98122,Seattle, ,Grocery,I, , , , ," 
",631,1158.95049639
-122.330614640290392,47.604526938625852,31,350653,0000000,350,Basil Box,Basil Box,701 5TH AVE,98104,Seattle, ,Seating 0-12,III, , , , ," 
",223,1853.55338917
-122.341354389836724,47.662637739503168,32,350854,0000000,350,Bill The Butcher,Bill The Butcher,4612 STONE WAY N,98103,Seattle,(206) 453-4418,Meat/Sea Food,III, , , , ," 
",-1,-1
-122.288800119892755,47.661326948645041,33,350855,0000000,350,Bill The Butcher #2,Bill The Butcher,3600 NE 45TH ST,98105,Seattle,(206) 453-4418,Meat/Sea Food,III, , , , ," 
",-1,-1
-122.400326370391141,47.654272369417114,34,350856,0000000,350,Bill The Butcher #5,Bill The Butcher,3800 34TH AVE W,98199,Seattle,(206) 612-7360,Meat/Sea Food,III, , , , ," 
",-1,-1
-122.384346930673814,47.668169499479973,35,350861,0000000,350,Billy Beach Sushi & Bar,Billy Beach Sushi & Bar,5463 LEARY AVE NW,98107,Seattle,(425) 890-6987,Seating 13-50,III, , , , ," 
",-1,-1
-122.387002420659798,47.668390329493675,36,350865,0000000,350,Bing Of Fire @ Route 727-410-4671,Bing Of Fire (Kc230),2315 NW MARKET ST,98107,Seattle,(727) 410-4671,Mobile Food Service,III, , , , ," 
",-1,-1
-122.323642490328552,47.701602379145925,37,350871,0000000,350,Bistro @ Aljoya,Aljoya Thorton Place,450 NE 100TH ST,98125,Seattle,(206) 306-7920,Seating 0-12,III, , , , ," 
",-1,-1
-122.289161220330882,47.612146788744255,38,350873,0000000,350,Bistro Turkuaz,Bistro Turkuaz,1114 34TH AVE,98122,Seattle,(206) 721-3656,Seating 0-12,III, , , , ," 
",118,422.474375448
-122.383352499715585,47.666177079477322,39,350874,0000000,350,Bitterroot Seattle,Bitterroot Seattle,5239 BALLARD AVE NW,98107,Seattle,(206) 920-4196,Seating 51-150,III, , , , ," 
",-1,-1
-122.341711160130842,47.661967249377653,40,350875,0000000,350,Bizzarro Italian Cafe,Bizzarro Italian Cafe,1307 N 46TH ST,98103,Seattle,(206) 290-7585,Seating 13-50,III, , , , ," 
",-1,-1
-122.29267749054965,47.5896689594219,41,350014,0000000,350,A La Bonne Franquette,A La Bonne Franquette,1423 31ST AVE S,98144,Seattle,(206) 697-9699,Seating 13-50,III, , , , ," 
",-1,-1
-122.354671380325428,47.671704858608109,42,350015,0000000,350,A La Mode Pies,A La Mode Pies,5821 PHINNEY AVE N,98103,Seattle,(206) 383-3796,Seating 0-12,II, , , , ," 
",-1,-1
-122.331728590578663,47.62901947935412,43,350021,0000000,350,A Terrible Beauty,A Terrible Beauty Irish Pub,1001 FAIRVIEW AVE N,98109,Seattle,(206) 334-4287,Seating 51-150,III, , , , ," 
",135,2535.98137812
-122.386489529798411,47.559476529033972,44,350023,0000000,350,A Terrible Beauty Irish Pub & Restaurant,A Terrible Beauty Irish Pub & Restaurant,4752 CALIFORNIA AVE SW,98116,Seattle,(402) 391-1452,Seating 51-150,III, , , , ," 
",-1,-1
-122.354958799467212,47.704600928621872,45,350024,0000000,350,A1 Mart,A1 Mart,10406 GREENWOOD AVE N,98133,Seattle,(206) 789-7293,Seating 0-12,III, , , , ," 
",-1,-1
-122.294614909336104,47.574500748868182,46,350030,0000000,350,Abarrotes El Mexicano,Abarrotes 'El Mexicano',3218 RAINIER AVE S,98144,Seattle,(206) 725-9040,Grocery,I, , , , ," 
",-1,-1
-122.313881540540635,47.563034838822418,47,350031,0000000,350,Abarrotes El Oaxaqueno,Abarrotes El Oaxaqueno,4515 15TH AVE S,98108,Seattle,(206) 954-2229,Grocery,I, , , , ," 
",-1,-1
-122.320207489346686,47.641231639051632,48,350033,0000000,350,Abay Ethiopian Restaurant,Abay Ethiopian Restaurant,2359 10TH AVE E,98102,Seattle,(206) 769-0405,Seating 13-50,III, , , , ," 
",-1,-1
-122.38742205009865,47.544638959095955,49,350034,0000000,350,Abbondanza,Abbondanza,6503 CALIFORNIA AVE SW,98136,Seattle,(206) 706-9375,Seating 51-150,III, , , , ," 
",-1,-1
-122.28633363973367,47.546506379410509,50,350038,0000000,350,Abdul Gafoor Halal Meat Market,Abdul Gafoor Halal Meat Market,6053 M L KING JR WAY S,98118,Seattle,(206) 722-7931,Seating 0-12,III, , , , ," 
",-1,-1
-122.347596510588858,47.663092438982048,51,350039,0000000,350,Absolut Hot Dog @ 20409 Aurora Ave N Shoreline,Absolut Hot Dog,4705 AURORA AVE N,98103,Seattle,(425) 773-8790,Mobile Food Service,I, , , , ," 
",-1,-1
-122.344067660561734,47.615079319481026,52,350041,0000000,350,Abyssinia Market,Abyssinia Market,2225 4TH AVE,98121,Seattle,(206) 770-9410,Seating 0-12,II, , , , ," 
",-1,-1
-122.344384059474365,47.614838509418817,53,350046,0000000,350,Acquabar,Acquabar,305 BELL ST,98121,Seattle,(206) 954-0965,Seating 51-150,III, , , , ," 
",-1,-1
-122.387329049791987,47.568208919076767,54,350050,0000000,350,Ad Food Mart,Ad Food Mart,4001 CALIFORNIA AVE SW,98116,Seattle,(206) 932-7506,Seating 0-12,I, , , , ," 
",-1,-1
-122.312862370161412,47.622683448981306,55,350051,0000000,350,Ada'S Technical Books & Cafe,Ada'S Technical Books And Cafe,425 15TH AVE E,98112,Seattle,(206) 941-4010,Seating 13-50,III, , , , ," 
",632,1413.72780582
-122.392119060611293,47.673498729004081,56,350052,0000000,350,Adams Elementary School,Adams Elementary School,6110 28TH AVE NW,98107,Seattle, ,School Kitchen, , , , , ," 
",-1,-1
-122.303840960098228,47.612738629004333,57,350055,0000000,350,Adey Abeba Ethiopian Restaurant,Adey Abeba Ethiopian Restaurant,2123 E UNION ST,98122,Seattle, ,Seating 13-50,III, , , , ," 
",208,1362.93846753
-122.386242919456066,47.580994118687137,58,350056,0000000,350,Admiral Bird,Admiral Bird,2600 CALIFORNIA AVE SW,98116,Seattle,(206) 713-7013,Seating 13-50,III, , , , ," 
",-1,-1
-122.386917379838721,47.581494799220344,59,350057,0000000,350,Admiral Chevron,Admiral Chevron,2347 CALIFORNIA AVE SW,98116,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.386226159620193,47.582697058673453,60,350058,0000000,350,Admiral Pub,Admiral Pub,2306 CALIFORNIA AVE SW,98116,Seattle,(206) 463-1255,Seating 51-150,III, , , , ," 
",-1,-1
-122.386732890012098,47.582706938707723,61,350059,0000000,350,Admiral Theatre,Admiral Theatre,2343 CALIFORNIA AVE,98116,Seattle, ,Seating 0-12,I, , , , ," 
",-1,-1
-122.385802629824994,47.5799023986973,62,350066,0000000,350,Afc Sushi,Afc Sushi @ Safeway  #2932,2622 CALIFORNIA AVE SW,98116,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.317615500423415,47.709012248957642,63,350069,0000000,350,Afc Sushi  @  (Qfc #866),Afc Sushi  @  (Qfc #866),11100 ROOSEVELT WAY,98125,Seattle,(425) 454-3621,Seating 0-12,III, , , , ," 
",-1,-1
-122.400590999759416,47.654793999451741,64,350070,0000000,350,Afc Sushi #161 @ Metropolitan Market,Afc Sushi@ Metropolitan Market #161,3830 34TH AVE W,98199,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.384554869921288,47.581905249509695,65,350071,0000000,350,Afc Sushi & Metropolitan #153,Afc Sushi & Metropolitan #153,2320 42ND AVE SW,98116,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.358710159456578,47.69170218902417,66,350083,0000000,350,Afc Sushi @ Fred Meyer 122,Afc Sushi@ Fred Meyer #122,100 NW 85TH ST,98117,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.354414789695824,47.624833579047454,67,350086,0000000,350,Afc Sushi @ Metopolitan Market#157,Afc Sushi @ Metopolitan Market#157,100 MERCER ST,98109,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.283949589651399,47.668149689285009,68,350087,0000000,350,Afc Sushi @ Metropolitan 156,Afc Sushi @ Metropolitan 156,5250 40TH AVE NE,98105,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.37783158978668,47.649337088652182,69,350091,0000000,350,Afc Sushi @ Qfc #811,Afc Sushi @ Qfc #811,1600 W DRAVUS ST,98119,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.299800059519271,47.578763169084887,70,350100,0000000,350,Afc Sushi @ Qfc #849,Afc Sushi @ Qfc #849,2707 RAINIER AVE S,98144,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.335967000083798,47.661829998711426,71,350101,0000000,350,Afc Sushi @ Qfc #869,Afc Sushi @ Qfc #869,1801 N 45TH ST,98103,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.363691450185897,47.701924259262675,72,350103,0000000,350,Afc Sushi @ Qfc #872,Afc Sushi @ Qfc #872,9999 HOLMAN RD NW,98117,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.349235480627655,47.620493878811409,73,350106,0000000,350,Afc Sushi @ Qfc #881,Afc Sushi @ Qfc #881,500 MERCER ST,98109,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.385212610395484,47.562400248718831,74,350107,0000000,350,Afc Sushi @ Qfc #883,Afc Sushi @ Qfc #883,4550 42ND AVE SW,98116,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.321154149374124,47.622283159325498,75,350108,0000000,350,Afc Sushi @ Qfc #887,Afc Sushi @ Qfc #887,425 BROADWAY AVE E,98102,Seattle, ,Seating 0-12,III, , , , ," 
",174,1038.21181502
-122.36589570014695,47.522028838775171,76,350110,0000000,350,Afc Sushi @ Qfc 825,Afc Sushi @ Qfc 825,2500 SW BARTON ST,98126,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.290442730370202,47.689368349158208,77,350113,0000000,350,Afc Sushi @ Qfc 873,Afc Sushi @ Qfc 873,8400 35TH AVE NE,98115,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.32095299963143,47.613137998839754,78,350114,0000000,350,"Afc Sushi @ Qfc; #847","Afc Sushi @ Qfc; #847",1401 BROADWAY,98122,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",631,1145.70238921
-122.311912999867232,47.717985999444963,79,350116,0000000,350,Afc Sushi @ Safeway # 1586,Afc Sushi@ Safeway #1586,12318 15TH AVE NE,98125,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.317008810217402,47.681993798803127,80,350119,0000000,350,Afc Sushi @ Safeway #1550,Afc Sushi @ Safeway #1550,7300 ROOSEVELT WAY NE,98115,Seattle,(310) 604-3200,Seating 0-12,III, , , , ," 
",-1,-1
-122.313135669885753,47.620494219223261,81,350123,0000000,350,"Afc Sushi @ Safeway ; #1551",Afc Sushi (Safeway #1551),1410 E JOHN ST,98112,Seattle, ,Seating 0-12,III, , , , ," 
",632,1001.48690545
-122.386380980004802,47.670568259125353,82,350130,0000000,350,Afc Sushi@Qfc #891,Afc Sushi@Qfc #891,5700 24TH AVE NW,98107,Seattle,(310) 604-6449,Seating 0-12,III, , , , ," 
",-1,-1
-122.282879900585669,47.555746918953176,83,350135,0000000,350,Afrikando Banadir,Afrikando Banadir,5212 RAINIER AVE S,98118,Seattle, ,Seating 13-50,III, , , , ," 
",-1,-1
-122.355107540582395,47.623431559349171,84,350139,0000000,350,Agave Cocina & Tequilas,Agave Cocina & Tequilas,100 REPUBLICAN ST,98109,Seattle,(425) 269-5144,Seating 51-150,III, , , , ," 
",-1,-1
-122.349508940015596,47.650297388753948,85,350140,0000000,350,Agrodolce,Agrodolce,709 N 35TH ST,98103,Seattle,(206) 547-9707,Seating 51-150,III, , , , ," 
",-1,-1
-122.314414420166869,47.651613108891446,86,350141,0000000,350,Agua Verde Cafe,Agua Verde Cafe,1303 NE BOAT ST,98105,Seattle,(206) 545-8570,Seating 51-150,III, , , , ," 
",-1,-1
-122.286355269941481,47.547032968691695,87,350657,0000000,350,"Baskin-Robbins ; #1362","Baskin-Robbins ; #1362",6025 M L KING JR WAY S,98118,Seattle,(206) 723-3100,Seating 0-12,II, , , , ," 
",-1,-1
-122.292084580470075,47.661456609142597,88,350666,0000000,350,Baskin Robbins #1304,Baskin Robbins #1304,3200 NE 45TH ST,98105,Seattle,(425) 391-1113,Seating 0-12,I,PR0001129,BASKIN ROBBINS #1304,BASKIN-ROBBINS 31 FLAVORS,Y,"3200 NE 45TH ST
",-1,-1
-122.383664140370712,47.666438438931415,89,350672,0000000,350,Bastille Cafe & Bar,Bastille Cafe & Bar,5307 BALLARD AVE NW,98107,Seattle,(206) 235-8999,Seating 151-250,III, , , , ," 
",-1,-1
-122.374134369460279,47.63063946934129,90,350675,0000000,350,Batch 206 Distillery,Batch 206 Distillery,1417 ELLIOTT AVE W,98119,Seattle,(206) 683-8777,Seating 51-150,III, , , , ," 
",-1,-1
-122.382429000082851,47.668392998720812,91,350677,0000000,350,Bauhaus Ballard,Bauhaus Ballard,2001 NW MARKET ST,98107,Seattle,(206) 229-2101,Seating 51-150,I, , , , ," 
",-1,-1
-122.327768579856013,47.615096139213129,92,350678,0000000,350,Bauhaus Books & Coffee,Bauhaus Books & Coffee,414 E PINE ST,98122,Seattle,(206) 625-1600,Seating 51-150,II, , , , ," 
",686,767.944882466
-122.342742849337967,47.610182178625884,93,350679,0000000,350,Bavarian Meat Products,Bavarian Meat Products,1920 PIKE PL,98101,Seattle,(206) 441-0942,Seating 0-12,III, , , , ," 
",-1,-1
-122.3408061202109,47.609393369211048,94,350685,0000000,350,Bayou On 1St,Bayou On 1St,1523 1ST AVE,98101,Seattle, ,Seating 13-50,III, , , , ," 
",-1,-1
-122.313448020036319,47.662080079023625,95,350687,0000000,350,Bbq Chicken Uw,Bbq Chicken Uw,4525 UNIVERSITY WAY NE,98105,Seattle,(253) 880-8049,Seating 13-50,III, , , , ," 
",-1,-1
-122.387094280604714,47.562614179201788,96,350690,0000000,350,Be'S Restaurant,Be'S Restaurant,4509 CALIFORNIA AVE SW,98116,Seattle,(206) 937-1110,Seating 13-50,III, , , , ," 
",-1,-1
-122.31388840036665,47.580756509350977,97,350694,0000000,350,Beacon Ave Sandwiches,Beacon Ave Sandwiches,2505-B BEACON AVE S,98144,Seattle,(206) 992-0638,Seating 0-12,II, , , , ," 
",-1,-1
-122.31377730016095,47.581515488824884,98,350695,0000000,350,Beacon Avenue Shell Food Mart,Beacon Avenue Shell Food Mart,2424 BEACON AVE S,98144,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.314502300454677,47.581193968738013,99,350697,0000000,350,Beacon Hill 76,Beacon Hill 76,2415 BEACON AVE S,98144,Seattle,(206) 827-4406,Seating 0-12,III, , , , ," 
",-1,-1
-122.313076029900984,47.580819518772344,100,350700,0000000,350,Beacon Hill Market- Seafood,Beacon Hill Market,2500 BEACON AVE S,98144,Seattle,(206) 323-2050,Meat/Sea Food,III, , , , ," 
",-1,-1
-122.313076029900984,47.580819518772344,101,350701,0000000,350,Beacon Hill Market - Grocery,Beacon Hill Market,2500 BEACON AVE S,98144,Seattle,(206) 323-2050,Grocery,I, , , , ," 
",-1,-1
-122.313076029900984,47.580819518772344,102,350702,0000000,350,Beacon Hill Market - Meat Shop,Beacon Hill Market,2500 BEACON AVE S,98144,Seattle,(206) 323-2050,Meat/Sea Food,III, , , , ," 
",-1,-1
-122.312819799421888,47.655477649311145,103,350703,0000000,350,Bean & Bagel,Bean & Bagel,1410 NE 40TH ST,98105,Seattle,(206) 547-5649,Seating 13-50,III, , , , ," 
",-1,-1
-122.32686805012132,47.6810366894655,104,350704,0000000,350,Bean City Espresso,Bean City Espresso,12547 LAKE CITY WAY NE,98125,Seattle,(206) 588-4885,Limited Food Services,I, , , , ," 
",-1,-1
-122.353354489851839,47.621119639231686,105,350706,0000000,350,Bean Sprouts (Kc249) @ Seattle Sprouts Llc,Bean Sprouts (Kc249),305 HARRISON ST,98109,Seattle,(651) 955-9145,Mobile Food Service,I, , , , ," 
",-1,-1
-122.3271761705047,47.596820009161696,106,350711,0000000,350,Beard Papa'S,Beard Papa'S,600 5TH AVE S 103,98104,Seattle,(425) 802-7122,Bakery,I,PR0077636,BEARD PAPA'S,BEARD PAPAS,Y,"600 5TH AV S 103
",176,3261.04326532
-122.334597930202222,47.598601039342391,107,350714,0000000,350,Beba'S Deli,Beba'S Deli,415 1ST AVE S,98104,Seattle,(206) 767-1818,Seating 13-50,III, , , , ," 
",223,4120.58196393
-122.329880710299818,47.605007369196741,108,350715,0000000,350,Bebas & Amigos,Bebas & Amigos,700 5TH AVE,98104,Seattle,(206) 622-7085,Seating 51-150,III, , , , ," 
",223,1602.51906269
-122.330697929674201,47.619906459223778,109,350716,0000000,350,Bebas And Dos Amigos,Bebas And Dos Amigos,209 YALE AVE N,98109,Seattle,(425) 653-3512,Seating 13-50,III, , , , ," 
",409,1519.12665004
-122.342247909458649,47.614011539268787,110,350717,0000000,350,Bebas Deli,Beba'S Deli,2101 4TH AVE #140,98121,Seattle,(206) 448-7545,Seating 0-12,III, , , , ," 
",-1,-1
-122.321043000608199,47.625734999034883,111,350718,0000000,350,Bed & Breakfast On Broadway,Bed & Breakfast On Broadway,722 BROADWAY AVE E,98102,Seattle, ,Bed and Breakfast,I, , , , ," 
",135,514.401583495
-122.321615539561279,47.626154428906347,112,350719,0000000,350,Bed & Breakfast On Capitol Hill,Bed & Breakfast On Capitol Hill,739 BROADWAY E,98102,Seattle, ,Bed and Breakfast,I, , , , ," 
",135,465.882351544
-122.344926620510478,47.613391599443467,113,350721,0000000,350,Bedlam,Bedlam,2231 2ND AVE,98121,Seattle,(206) 910-2300,Seating 13-50,I, , , , ," 
",-1,-1
-122.341773689369489,47.609627329119881,114,350723,0000000,350,Beecher'S Handmade Cheese,Beecher'S Handmade Cheese,1600 PIKE PL,98101,Seattle, ,Seating 0-12,III, , , , ," 
",-1,-1
-122.293348590044531,47.721929338617166,115,350725,0000000,350,Beer Authority,"Beer Authority; Llc",12720 LAKE CITY WAY NE,98125,Seattle,(206) 417-9629,Seating 13-50,I, , , , ," 
",-1,-1
-122.387051399835585,47.562538549377273,116,350726,0000000,350,Beer Junction,Beer Junction,4511 CALIFORNIA AVE SW,98116,Seattle, ,Seating 13-50,I, , , , ," 
",-1,-1
-122.34912411960849,47.61109616941274,117,350730,0000000,350,Bell Harbor Int Conference Ctr /  Restaurant,Bell Harbor Int Conference Ctr,2211 ALASKAN WAY,98121,Seattle,(206) 441-6666,Seating 151-250,III, , , , ," 
",-1,-1
-122.34912411960849,47.61109616941274,118,350731,0000000,350,Bell Harbor Intn'L - Banquet Kitchen - 2Nd Flr.,Bell Harbor Int Conference Ctr,2211 ALASKAN WAY,98121,Seattle,(206) 441-6666,Catering Operation,III, , , , ," 
",-1,-1
-122.348965570320928,47.611009799163355,119,350732,0000000,350,Bell St Deli & Grocery,Bell St Deli & Grocery,2207 ALASKAN WAY,98121,Seattle,(206) 441-6907,Seating 0-12,III, , , , ," 
",-1,-1
-122.343244019845642,47.614706979157518,120,350733,0000000,350,Bell Thai  Thai  Restaurant,Bell Thai  Thai  Restaurant,2211 4TH AVE,98121,Seattle, ,Seating 13-50,III, , , , ," 
",-1,-1
-122.280282820099004,47.633831709467508,121,350736,0000000,350,Bella Viet Cafe,Bella Viet Cafe,4021 E MADISON ST,98112,Seattle, ,Seating 13-50,III, , , , ," 
",-1,-1
-122.346621929953727,47.613632309314816,122,350760,0000000,350,Bellini,Bellini,2302 1ST AVE,98121,Seattle,(206) 355-8862,Seating 0-12,III, , , , ," 
",-1,-1
-122.345643239770794,47.612499658738052,123,350762,0000000,350,Belltown Billiards,Belltown Billiards,90 BLANCHARD ST,98121,Seattle,(206) 448-6779,Seating 51-150,III, , , , ," 
",-1,-1
-122.352245819450701,47.61754182920739,124,350763,0000000,350,Belltown Cafe Market,Belltown Cafe Market,2911 2ND AVE,98121,Seattle,(425) 246-2830,Seating 0-12,III, , , , ," 
",-1,-1
-122.348259569562956,47.614599929031577,125,350765,0000000,350,Belltown Pizza,Belltown Pizza,2422 1ST AVE,98121,Seattle, ,Seating 13-50,III, , , , ," 
",-1,-1
-122.346855419794679,47.613999399333366,126,350766,0000000,350,Belltown Pub,Belltown Pub,2322 1ST AVE,98121,Seattle,(206) 728-4311,Seating 51-150,III, , , , ," 
",-1,-1
-122.377716999636547,47.561741999405506,127,350767,0000000,350,"Beloved Mexico @ 9434 36Th Ave Sw; Seattle  98126","Beloved Mexico; Llc",4611 36TH AVE SW,98126,Seattle,(206) 484-8650,Mobile Food Service,III, , , , ," 
",-1,-1
-122.337301369905802,47.685903899215802,128,350770,0000000,350,Ben & Jerry'S (Kc172),Ben & Jerry'S (Kc172),7900 E GREENLAKE DR N,98103,Seattle,(360) 970-6849,Mobile Food Service,II, , , , ," 
",-1,-1
